si no,LATITUDE,LONGITUDE,District,Elevation,Slope,Rainfall,MinTemp,MaxTemp,Humidity,NDVI,B,Ca,Cu,EC,Fe,K,Mg,Mn,N,Org_C,P,S,Zn,pH
12,11.87340069,75.863489,Kannur,139,3.971884,119.2279315,16.84292071,29.11107367,61.46599462,0.40392974,0.094999999,168,6.099999905,0.06,25.60000038,125.3600006,104.2200012,35.85282135,528,1.519999981,24.57999992,33.52500153,9.850000381,5.409999847
13,12.21504974,75.32942963,Kannur,161,3.3939571,18.73948801,21.90739094,31.21134996,69.36719805,0.57475555,0.059999999,725,6.139999866,0.06,75.23000336,885.960022,85.33000183,64.51999664,458,0.930000007,763.8200073,26.28000069,6.03000021,6.050000191
14,12.18317127,75.230868,Kannur,26,3.901086,3.791483879,23.45392288,30.41379305,69.43064263,0.6084316,0.079999998,528,5.739999771,0.06,71.27999878,242.5,65.51999664,39.61999893,183,0.059999999,2.359999895,20.10000038,5.960000038,5.519999981
15,12.19016647,75.258813,Kannur,79,4.7336287,8.671954568,21.90739094,31.21134996,69.36719805,0.6111311,0.079999998,625,3.99000001,0.06,79.94999695,272.5,91.26000214,44.52999878,225,0.090000004,2.900000095,14.39999962,3.279999971,5.369999886
16,12.19852924,75.26159668,Kannur,65,12.026054,8.671954568,21.90739094,31.21134996,69.36719805,0.5630109,0.079999998,589,5.309999943,0.06,81.27999878,226.6000061,71.18000031,74.62999725,268,0.479999989,2.309999943,18.95999908,6.849999905,5.480000019
17,11.95939827,75.468862,Kannur,57,0,17.8658787,21.24597978,32.18597196,65.21408968,0.5237494,0.140000001,175,2.079999924,0.06,16.5,212,126,39.95999908,630,1.299999952,8.100000381,22.25519943,6.300000191,5.679999828
18,11.97422028,75.484264,Kannur,31,13.043588,17.8658787,21.24597978,32.18597196,65.21408968,0.6732109,0.170000002,201.5,2.390000105,0.06,18.37000084,177.8800049,174.3000031,78.97000122,742,1.330000043,6.130000114,19.23999977,5.739999771,5.630000114
19,12.0456636,75.582723,Kannur,24,8.0446825,32.37979555,20.3084248,32.81704207,64.75651692,0.29291287,0.189999998,356,7.392980099,0.06,35.85279846,539.2000122,112.2919998,38.95280075,665,0.99000001,36.25,41.25799942,7.519999981,5.809999943
20,11.92520618,75.697489,Kannur,71,3.8234706,36.63699102,20.0568613,32.48481298,64.35408645,0.62703234,0.073399998,80,6.321000099,0.07,41.29999924,105.1679993,132,27.85849953,224,0.647058824,10.47200012,46.25257874,6.309999943,5.590000153
21,11.80017281,75.564002,Kannur,29,5.8582544,18.2816776,21.0935016,31.27222779,69.39096055,0.59987146,0.104400001,320,2.209000111,0.07,26.5,113.9039993,144,28.28199959,235,0.676470588,23.25119972,24.87000084,2.559999943,5.840000153
22,11.96006489,75.73070526,Kannur,52,5.968925,17.66983283,20.09892583,33.19815821,62.46473311,0.6266567,0.104400001,560,4.43200016,0.07,38,123.3119965,360,32.8282814,628,0.764705882,10.64000034,22.52799988,9.109999657,5.769999981
23,12.0405817,75.627873,Kannur,35,11.031844,29.25878406,20.3084248,32.81704207,64.75651692,0.7137323,0.128399998,487,7.9858528,0.07,45.56280136,187.4880066,105.5199966,45.55899811,528,1.5,82.33007813,71.30000305,7.992000103,5.730000019
24,12.03143215,75.669778,Kannur,56,4.6938515,17.3895148,20.09892583,33.19815821,62.46473311,0.5070163,0.166600004,421,6.958799839,0.07,42.32852173,185.4720001,125.8580017,50.25500107,250.8800049,1.563829787,78.73935699,51.25566101,6.658480167,5.190000057
25,11.9793129,75.410722,Kannur,17,6.7325387,10.2893616,22.32439417,32.13279351,65.84348166,0.7288247,0.067000002,105,3.099999905,0.07,52,122.5,95,67.25,465,2.299999952,5.699999809,32.55899811,4,5.670000076
26,12.07597923,75.564295,Kannur,35,3.8236017,21.98980677,19.17601061,31.48734252,64.2642136,0.69394433,1.14199996,385,6.985499859,0.07,30.28520012,179.6927948,85.6289978,39.99000168,252.75,2.457446809,13.33695984,12.60000038,6.325799942,4.679999828
27,12.07905769,75.327305,Kannur,67,4.2155385,9.119403295,22.6973224,31.52068218,68.47627566,0.41313246,0.109200001,396,4.5985848,0.07,85.51999664,280.8959961,80.85527802,50.22999954,718,3.893617021,64.88944244,21.95899963,6.650000095,5.170000076
28,11.84926987,75.569113,Kannur,42,2.7802885,18.2816776,21.0935016,31.27222779,69.39096055,0.67669594,0.07,658.4299927,4.760000229,0.07,41.25,501.7000122,231,71.52999878,624,1.00999999,48.31000137,31.25,9.119999886,6.170000076
29,11.99124146,75.437792,Kannur,49,2.9892163,10.2893616,22.32439417,32.13279351,65.84348166,0.64560694,0.079999998,590,7.099999905,0.07,101,130.8000031,270,71.26000214,187,0.096000001,6.5,21.22827911,7.699999809,5.699999809
30,11.97022915,75.414896,Kannur,38,2.082317,10.2893616,22.32439417,32.13279351,65.84348166,0.74321216,0.079999998,110.1999969,2.430000067,0.07,35.00999832,134.8200073,148,70.22000122,618,0.850000024,4.099999905,24.59000015,3.660000086,5.579999924
31,11.89266872,75.556893,Kannur,37,8.594623,19.72454894,20.84691772,32.46917693,65.24169891,0.3368596,0.100000001,780,2.150000095,0.07,21.20000076,147.1699982,168,69.59999847,735,1.590000033,7.150000095,32.25,4.840000153,6.289999962
32,11.89910507,75.43405914,Kannur,20,7.613144,10.46054196,22.01733209,31.7111366,68.33291587,0.6965955,0.100000001,400,3.190000057,0.07,52.40000153,176.8500061,240,71.86000061,580,1.590000033,33.81000137,33.25,8.300000191,6.539999962
33,11.95183563,75.471806,Kannur,26,4.6643767,17.8658787,21.24597978,32.18597196,65.21408968,0.6901546,0.100000001,134,2.900000095,0.07,15.19999981,206.3999939,102,38.95999908,610,1.799999952,10.69999981,28.58580017,6.400000095,5.610000134
34,11.77236557,75.570467,Kannur,21,0,14.45968193,21.0935016,31.27222779,69.39096055,0.6472998,0.150000006,581.7000122,4.679999828,0.07,69.79000092,154.3099976,198,73.95999908,650,0.910000026,27.75,34.27000046,5.989999771,6.46999979
35,12.03107834,75.392439,Kannur,21,12.30715,11.96176755,22.32439417,32.13279351,65.84348166,0.6300033,0.170000002,285,6.958817959,0.07,69.51999664,250.6999969,125.2220001,57.25999832,579,2.769999981,141,76.18585205,6.010000229,5.800000191
36,11.87374973,75.436837,Kannur,39,2.0821636,10.46054196,22.01733209,31.7111366,68.33291587,0.44638732,0.092,312.3999939,4.199999809,0.075,48.70000076,158.6999969,96,30.53000069,497,2.099999905,29.79999924,31.48399925,3.5,6.599999905
37,12.17052555,75.490365,Kannur,110,9.382276,43.38611984,18.63982465,30.2886402,66.84288069,0.75333136,0.109999999,489,6.958000183,0.075,48.27999878,365.4400024,75.58000183,63.2517395,381.5,3.079999924,72.58999634,45.28545761,6.119999886,5.449999809
38,11.88182831,75.48401642,Kannur,24,4.997207,14.93052262,21.70774494,31.9706402,66.38667776,0.7188845,0.079999998,356.7000122,3.190000057,0.078,52.40000153,165.6999969,240,22.95999908,517,1.620000005,30.5,33.61999893,8.300000191,6.599999905
39,11.99074268,75.645563,Kannur,41,0.94809186,23.31961739,20.3084248,32.81704207,64.75651692,0.39075834,0.173600003,326,7.15252018,0.08,55.28519821,76.33920288,65.65799713,54.05199814,219.5200043,0.510638298,8.976799965,38.95999908,6.53000021,5.639999866
40,12.13947964,75.468444,Kannur,63,3.9004843,38.06579638,20.20244514,31.43099286,66.02362224,0.66840774,0.134000003,290,7.099999905,0.08,19.19000053,236.1000061,125,21.852828,608,1.679999948,24.55900002,52.2519989,6.889999866,5.630000114
41,11.83924198,75.463281,Kannur,26,3.7850838,7.967959672,21.92949408,30.78086216,70.64805075,0.6155806,0.310000002,426,5.989999771,0.08,29.95000076,175.6600037,99.58000183,24.53000069,687,1.789999962,341.3699951,20.75,8.039999962,5.159999847
42,12.00512123,75.731328,Kannur,73,7.1597233,22.26030779,20.09892583,33.19815821,62.46473311,0.70151216,0.092200004,700,6.072999954,0.08,47.90000153,217.8399963,336,24.8220005,655,2.029411765,27.5,43.25279999,8.56000042,5.519999981
43,12.25639534,75.346052,Kannur,115,0.92740995,10.82304958,21.41198331,31.54112607,66.61067622,0.5838418,0.123400003,285,5.84100008,0.08,35.2519989,345.2735901,105.3690033,54.52550125,332.4159851,2.64893617,23.85264015,19.28483963,4.980000019,4.900000095
44,12.03876686,75.40534973,Kannur,56,0.9482621,19.96178651,22.32439417,32.13279351,65.84348166,0.5439961,0.111000001,304,5.7582798,0.08,66.51000214,180.4199982,100.2852783,55.25,610,2.700000048,110.4000015,82.9960022,5.519999981,5.320000172
45,12.18636322,75.227387,Kannur,40,2.9372396,3.791483879,23.45392288,30.41379305,69.43064263,0.48280448,0.07,430,5.570000172,0.08,81.86000061,222.5,87.84999847,40.25,285,0.720000029,2.099999905,15.10000038,4.980000019,5.599999905
46,11.75796223,75.602084,Kannur,29,3.971033,22.99308872,21.0935016,31.27222779,69.39096055,0.62905914,0.079999998,812.1199951,4.630000114,0.08,47.29999924,375.1900024,246.1300049,69.95999908,610,1.039999962,47.13000107,31.25,7.230000019,5.820000172
47,11.76279354,75.617364,Kannur,43,3.9710677,22.99308872,21.0935016,31.27222779,69.39096055,0.67744225,0.079999998,846.460022,5.010000229,0.08,44.47000122,483.3699951,222,69.95999908,680,1.090000033,51.09999847,41.61999893,10.01000023,6.28000021
48,12.01324177,75.48226929,Kannur,68,8.497299,20.43144166,21.24597978,32.18597196,65.21408968,0.7561565,0.079999998,100,3.609999895,0.08,25.29999924,274.1799927,240,65.33000183,562,1.320000052,8.760000229,22.26000023,5.329999924,5.630000114
49,11.75709724,75.56076813,Kannur,19,4.8154087,14.45968193,21.0935016,31.27222779,69.39096055,0.6048287,0.090000004,755.6400146,3.150000095,0.08,50.09999847,258.9700012,229.9799957,71.95999908,623,1.120000005,44.45999908,34.63000107,8.010000229,5.710000038
50,11.84508991,75.50702667,Kannur,23,2.9368527,7.892810106,21.92949408,30.78086216,70.64805075,0.5482969,0.090000004,500,3.940000057,0.08,46.5,150.0800018,180,61.83000183,870,2.150000095,13.27999973,22.25,8.630000114,6.03000021
51,11.99610329,75.685275,Kannur,38,2.6508932,19.0768224,20.09892583,33.19815821,62.46473311,0.5542763,0.100000001,398,5.900000095,0.08,35.5,126,123,45.85850143,615,1.100000024,19.60000038,53.15827942,10.07999992,5.900000095
52,12.17150974,75.46060181,Kannur,71,13.052866,43.38611984,18.63982465,30.2886402,66.84288069,0.73137933,0.100000001,546,5.320000172,0.08,79.94999695,670.6599731,83.52999878,65.75,563,1.24000001,876.6199951,24.25,5.039999962,6.119999886
53,11.83250999,75.47268677,Kannur,17,2.840551,7.967959672,21.92949408,30.78086216,70.64805075,0.4944356,0.100000001,600,11,0.08,85,136.6399994,192,67.91999817,725,1.590000033,100.9700012,18.22999954,25,6.139999866
54,11.8734808,75.437692,Kannur,35,2.988045,10.46054196,22.01733209,31.7111366,68.33291587,0.6073308,0.100000001,356,3.200000048,0.08,56.5,180.5,135,28.95999908,425,1.600000024,34.5,23.89999962,7.099999905,6.579999924
55,12.01848602,75.496229,Kannur,88,2.9370477,20.43144166,21.24597978,32.18597196,65.21408968,0.569695,0.100000001,304,4.46999979,0.08,25.62999916,217.3200073,105.5299988,38.95999908,558,5.96999979,32.31999969,25.25,5.239999771,5.429999828
56,12.00802803,75.669567,Kannur,44,8.0271845,17.3895148,20.09892583,33.19815821,62.46473311,0.7489083,0.119999997,235,7.128584862,0.08,69.65280151,199.5,105.2249985,43.56949997,234.4799957,1.5,15.56000042,45.58995819,7.295899868,5.300000191
57,12.0593214,75.30950928,Kannur,65,1.3263159,9.119403295,22.6973224,31.52068218,68.47627566,0.71660465,0.119999997,501,7.860000134,0.08,39.83000183,250.5,90.26000214,74.95999908,356,3.599999905,62.5,24.57999992,6.550000191,5.199999809
58,11.79002285,75.537075,Kannur,30,1.3256433,8.623157233,21.92949408,30.78086216,70.64805075,0.4133231,0.129999995,800,4.860000134,0.08,48,332.4200134,336,71.59999847,710,1.440000057,84.76000214,22.32999992,9.079999924,6
59,11.78095245,75.570562,Kannur,27,0.92740995,14.45968193,21.0935016,31.27222779,69.39096055,0.59949356,0.140000001,620,4.510000229,0.08,58.20000076,149.9700012,216,85.95999908,670,1,29.32999992,24.26000023,5.239999771,6.610000134
60,12.05560493,75.5900116,Kannur,45,8.3416815,21.98980677,19.17601061,31.48734252,64.2642136,0.6728176,0.140000001,302,8.284000397,0.08,22.28520012,115.6699982,101.25,40.54999924,699,1.279999971,75.55999756,91.31999969,6.328279972,5.389999866
61,12.15170002,75.45018768,Kannur,73,8.276063,43.38611984,18.63982465,30.2886402,66.84288069,0.6583456,0.180000007,369,5.247399807,0.08,42.56280136,204.5599976,128.9900055,28.95499992,234,0.980000019,61.22000122,28.328541,5.960000038,5.590000153
62,11.92355061,75.489998,Kannur,39,7.613186,15.02618396,21.70774494,31.9706402,66.38667776,0.520795,0.189999998,592.4199829,5.800000191,0.08,41.13999939,321.2999878,78.48999786,24.25,554,3.359999895,52.40000153,38.86000061,6.099999905,5.639999866
63,12.02805328,75.39285278,Kannur,39,4.8200107,11.96176755,22.32439417,32.13279351,65.84348166,0.63202435,0.123999998,314,6.147170067,0.082,75.52999878,160.5,132.2819977,58.95999908,623,3.210000038,127.4000015,85.96984863,5.630000114,6.099999905
64,12.22183514,75.325051,Kannur,175,4.666113,18.73948801,21.90739094,31.21134996,69.36719805,0.55821586,0.075000003,358,5.23995018,0.09,70.31999969,356.5,89.55000305,52.54999924,458,1.100000024,2.900000095,34.25249863,5.840000153,5.800000191
65,12.07661819,75.558718,Kannur,29,2.937114,21.98980677,19.17601061,31.48734252,64.2642136,0.6038632,0.081,370,6.140999794,0.09,32.45000076,138.4199982,255,52.35499954,684,1.25,28.56999969,44.32619858,8.550000191,5.650000095
66,12.04232502,75.583586,Kannur,26,3.3635795,32.37979555,20.3084248,32.81704207,64.75651692,0.610659,0.151199996,285,8.9569858,0.09,28.5,156.4416046,125.9599991,38.68999863,689,1.308510638,92.33280182,78.36000061,7.328279972,5.420000076
67,11.86100292,75.899472,Kannur,229,8.497068,119.2279315,16.84292071,29.11107367,61.46599462,0.77799046,0.103200004,180,6.540999889,0.09,29.5,128.8000031,396,39.95949936,598,1.352941176,35.54550171,34.38479996,15.10000038,5.590000153
68,12.25925636,75.4571991,Kannur,404,16.331354,58.05974126,17.52597198,30.03959598,63.35793817,0.751462,0.089000002,510,3.900000095,0.09,35.58000183,324.8599854,196,72.95894623,586,1.419999957,57.12200165,25.5,6.610000134,6.010000229
69,12.25773811,75.383652,Kannur,82,3.9021227,14.72337395,19.48611182,31.52498122,65.7954982,0.662037,0.112000003,842,2.950000048,0.09,45.5,110.5,247,19.85820007,529,1.559999943,26.85000038,53.52000046,4.579999924,5.860000134
70,12.16810608,75.468406,Kannur,53,4.665765,43.38611984,18.63982465,30.2886402,66.84288069,0.6648238,0.1382,224,7.259858131,0.09,75.85279846,125.5296021,85.96900177,61.22520065,332.4159851,1.755319149,117.7243195,31.24880028,5.96999979,5.03000021
71,11.83455753,75.462417,Kannur,19,2.840574,7.967959672,21.92949408,30.78086216,70.64805075,0.58166397,0.25,415,5.170000076,0.09,35.86999893,152.6999969,101.5299988,20.53000069,652,1.809999943,333.5,18.54000092,7.150000095,5.199999809
72,12.22262573,75.431815,Kannur,141,4.6273675,47.05227041,20.42248688,31.6807182,68.20758219,0.67297196,0.095600002,298,7.578800201,0.09,30.52799988,238.694397,120.1999969,52.55199814,269.6960144,1.819148936,29.4951992,24.36590004,5.21999979,5.150000095
73,12.09514809,75.561112,Kannur,69,5.2914786,21.98980677,19.17601061,31.48734252,64.2642136,0.6272815,0.103600003,500,31.29999924,0.09,42.29999924,166.2079926,312,52.65851974,558,2.029411765,49.61600113,57.62820053,12.5,5.829999924
74,11.95443535,75.47009277,Kannur,41,5.4797935,17.8658787,21.24597978,32.18597196,65.21408968,0.5752351,0.095799997,134,2.400000095,0.09,19.60000038,190.0415955,98,41.63000107,547,2.712765957,13.33695984,26.58499908,6.199999809,5.559999943
75,11.99707794,75.449656,Kannur,51,2.9892776,10.2893616,22.32439417,32.13279351,65.84348166,0.7153321,0.050000001,366.6000061,5.699999809,0.09,92,125.8000031,115,62.29000092,204,0.07,6.099999905,23.95899963,5.900000095,5.460000038
76,12.17661572,75.230946,Kannur,20,3.7898154,3.791483879,23.45392288,30.41379305,69.43064263,0.5694444,0.07,456,4.980000019,0.09,69.94999695,212.6999969,98.29000092,39.65999985,220,0.090000004,2,14.5,4.960000038,5.699999809
77,12.19007015,75.262288,Kannur,94,2.9912226,8.671954568,21.90739094,31.21134996,69.36719805,0.5198848,0.07,524,5.349999905,0.09,79.95999908,233.8000031,65.26000214,77.55000305,234,0.400000006,3.5,16.79999924,8.010000229,5.53000021
78,11.9727087,75.414965,Kannur,22,0.92740995,10.2893616,22.32439417,32.13279351,65.84348166,0.7230719,0.079999998,110,3.099999905,0.09,40,351,79,59.81999969,385,2.200000048,6,22.58527946,4.5,5.610000134
79,11.82755947,75.512164,Kannur,39,1.8945283,7.892810106,21.92949408,30.78086216,70.64805075,0.3489196,0.079999998,460,3.799999952,0.09,43.20000076,143.5,98,18.94000053,810,2.400000095,12.5,32.75,8.199999809,6
80,11.74276447,75.560712,Kannur,21,2.081958,8.441144347,21.93108494,30.75358208,73.1514314,0.50980806,0.090000004,1040,3.609999895,0.09,33.70000076,597.7399902,264,69.95999908,720,1.25999999,41.56000137,31.21999931,15.80000019,6.519999981
81,11.85632038,75.439837,Kannur,34,5.2891016,10.46054196,22.01733209,31.7111366,68.33291587,0.7378489,0.090000004,371.1300049,4.010000229,0.09,58.75999832,170.4600067,128.2799988,70.65000153,563,1.460000038,31.12999916,35.25,9.119999886,6.269999981
82,11.98127937,75.475802,Kannur,27,3.823519,17.8658787,21.24597978,32.18597196,65.21408968,0.537131,0.090000004,165,1.950000048,0.09,17.85000038,168.5200043,128,75.66000366,840,1.649999976,6.150000095,16.39999962,4.900000095,5.960000038
83,12.02924633,75.487939,Kannur,16,2.9370599,20.43144166,21.24597978,32.18597196,65.21408968,0.72399855,0.100000001,258,3.589999914,0.09,19.89999962,252.3999939,198,37.52000046,499,1.25999999,46.27999878,30.29000092,5.199999809,5.429999828
84,11.80274963,75.52429962,Kannur,24,1.8543341,7.892810106,21.92949408,30.78086216,70.64805075,0.5677574,0.100000001,500,5.510000229,0.09,63.70000076,162.9600067,108,67.87999725,625,1.440000057,23.07999992,12.25,21.89999962,6.119999886
85,12.04445553,75.337059,Kannur,6,3.9731638,9.428008609,22.7874758,31.25008098,68.82544471,0.42941424,0.100000001,450,4.5,0.09,124.5599976,215.5,262,58.95999908,588,1.600000024,12.46000004,12.22999954,8.399999619,6.150000095
86,11.91850758,75.5619812,Kannur,36,4.21352,17.2865423,20.84691772,32.46917693,65.24169891,0.5795816,0.100000001,820,3.319999933,0.09,18.79999924,170.3399963,146,71.95999908,810,1.730000019,6.119999886,32.29000092,6.699999809,6.340000153
87,11.75338745,75.580951,Kannur,32,0,14.45968193,21.0935016,31.27222779,69.39096055,0.66307473,0.109999999,506,4.860000134,0.09,58.95999908,204,152,70.95999908,324,0.910000026,58.97000122,35.65999985,5.800000191,6.119999886
88,12.12256336,75.505673,Kannur,224,7.3788605,61.76602459,20.20244514,31.43099286,66.02362224,0.53913426,0.109999999,520,6.747139931,0.09,52.39289856,315.2550049,107.5199966,22.95949936,698,1.039999962,58.89550018,28.28499985,7.010000229,5.690000057
89,11.9194994,75.809176,Kannur,169,4.722621,65.48542881,18.77281736,30.95730296,63.47575061,0.57140243,0.109999999,258,5.857999802,0.09,20.65279961,214.3000031,125.5281982,29.85880089,566,1.460000038,31.24699974,31.21509933,3.252500057,5.960000038
90,11.82946968,75.48893738,Kannur,16,0.94752985,7.967959672,21.92949408,30.78086216,70.64805075,0.5478592,0.109999999,646.3099976,9.010000229,0.09,66.66999817,145.1300049,184,65.33000183,610,1.49000001,94.88999939,17.62999916,10.57999992,6.269999981
91,11.82693768,75.451717,Kannur,14,6.224418,7.967959672,21.92949408,30.78086216,70.64805075,0.6587602,0.129999995,405.3999939,4.860000134,0.09,85,179.5,116,22.64999962,645,0.140000001,33.79999924,30.21999931,7.349999905,6.320000172
92,11.90995026,75.75991058,Kannur,104,4.817993,22.35626948,18.77281736,30.95730296,63.47575061,0.527452,0.129999995,524,7.214099884,0.09,69.95800018,305.6220093,95.68199921,62.58520126,712,0.980000019,52.38999939,36.51509857,6.349999905,5.610000134
93,12.04673195,75.482378,Kannur,29,5.4243917,20.43144166,21.24597978,32.18597196,65.21408968,0.52671516,0.140000001,345,5.079999924,0.09,32.56000137,303.5,95.98000336,34.84999847,558,1.200000048,51.40000153,21.53000069,6.739999771,5.599999905
94,11.9676857,75.523244,Kannur,115,0.92740995,19.63823771,21.24597978,32.18597196,65.21408968,0.5764865,0.140000001,666.1900024,5.519999981,0.09,44.75,297.480011,75.34999847,35.68999863,623,4.889999866,60.11999893,39.86000061,5.300000191,5.5
95,12.23117542,75.488505,Kannur,88,0.94894725,49.92389035,18.63982465,30.2886402,66.84288069,0.48037842,0.150000006,314,6.695799828,0.09,55.5289528,225.4700012,65.69499969,51.22000122,236.4499969,0.680000007,23.39999962,26.34799957,6.139999866,5.769999981
96,12.2101583,75.427212,Kannur,86,10.001525,47.05227041,20.42248688,31.6807182,68.20758219,0.72781247,0.167999998,312,7.125279903,0.09,21.5284996,129.5800018,128.2579956,54.54999924,234.5800018,1.559999943,22.22999954,28.96961975,4.980000019,5.400000095
97,12.00445175,75.669632,Kannur,36,2.0823715,17.3895148,20.09892583,33.19815821,62.46473311,0.50615203,0.170000002,354,7.115170002,0.09,35.5895195,258.5,96.92900085,53.69900131,596,0.870000005,36.90000153,52.22520065,5.980000019,5.659999847
98,12.0780409,75.58467865,Kannur,30,5.2913055,21.98980677,19.17601061,31.48734252,64.2642136,0.76387316,0.200000003,452,7.114140034,0.09,50.28527832,396.519989,101.5250015,39.99000168,685,1.559999943,46.52000046,31.28849983,6.690000057,5.929999828
99,12.09592819,75.553993,Kannur,45,4.8211837,21.98980677,19.17601061,31.48734252,64.2642136,0.37285662,0.699999988,245,7.128479958,0.095,54.27999878,136.3600006,100.2279968,56.12250137,285.4700012,2.900000095,15.39999962,11.5,5.958580017,4.800000191
100,12.2178688,75.462458,Kannur,109,5.081269,49.92389035,18.63982465,30.2886402,66.84288069,0.6690519,0.205599993,428,6.147469997,0.1,39.2519989,239.904007,88.98999786,40.252852,257.1520081,1.021276596,23.33967972,20.35499954,6.21999979,5.53000021
101,11.8450613,75.462115,Kannur,28,2.7802885,7.967959672,21.92949408,30.78086216,70.64805075,0.34742212,0.300000012,389,5.849999905,0.1,35.52999878,166.8000031,101.2799988,21.52000046,718,1.730000019,298.2000122,18.55999947,8.119999886,5.269999981
102,12.05772018,75.583714,Kannur,56,2.6512034,21.98980677,19.17601061,31.48734252,64.2642136,0.705676,0.122400001,520,0.845000029,0.1,49.59999847,321.6640015,348,54.58580017,549,2.529411765,32.39039993,53.52199936,46.59999847,5.900000095
103,12.2306757,75.324847,Kannur,164,5.9670544,18.73948801,21.90739094,31.21134996,69.36719805,0.35964423,0.090000004,489,4.230000019,0.1,85.63999939,380.3999939,99.52999878,51.25,279,0.99000001,3.299999952,26.32999992,4.119999886,5.199999809
104,11.86063004,75.50942993,Kannur,22,3.8966937,14.6750499,21.70774494,31.9706402,66.38667776,0.5589537,0.100000001,486.2399902,3.329999924,0.1,45.31000137,147.7400055,157.8899994,68.97000122,890,2.470000029,12.43000031,23.04999924,7.260000229,6.159999847
105,12.00873184,75.495418,Kannur,31,10.756472,20.43144166,21.24597978,32.18597196,65.21408968,0.69478357,0.140000001,412,4.53000021,0.1,29.95999908,198.5599976,97.84999847,39.93000031,574,2.400000095,35.47000122,35.25999832,5.389999866,5.579999924
106,12.15961075,75.495019,Kannur,147,9.859627,43.38611984,18.63982465,30.2886402,66.84288069,0.72534806,0.159999996,524,6.128580093,0.1,70.28199768,131.4700012,100.25,52.58499908,285.6400146,2.099999905,120.1299973,40.28580093,5.869999886,5.230000019
107,12.2500639,75.329308,Kannur,151,4.2177253,10.82304958,21.41198331,31.54112607,66.61067622,0.53105897,0.075000003,125,4.9693652,0.11,96.62000275,256.7000122,78.89585114,48.95999908,501,1.220000029,2.299999952,25.6989994,4.980000019,5.300000191
108,12.00453186,75.683714,Kannur,54,12.200596,17.3895148,20.09892583,33.19815821,62.46473311,0.5984672,0.085600004,460,6.989999771,0.11,122,142.2400055,156,39.95500183,623,1.264705882,23.0496006,40.28580093,8.510000229,6.150000095
